"12";"Дружелюбная и активная порода";"https://example.com/images/labrador.jpg";"Лабрадор ретривер";"Канада";"LARGE";"Дружелюбный, активный, умный"
"14";"Крошечная, но смелая собака-компаньон";"https://example.com/images/chihuahua.jpg";"Чихуахуа";"Мексика";"TOY";"Смелый, независимый, живой"
"11";"Умная, преданная, хорошо обучаемая";"https://example.com/images/german_shepherd.jpg";"Немецкая овчарка";"Германия";"LARGE";"Умный, преданный, защитный"
"13";"Любопытная и добрая порода";"https://example.com/images/beagle.jpg";"Бигль";"Англия";"MEDIUM";"Дружелюбный, любопытный, ласковый"
"8";"Добродушный гигант с мягким характером";"https://example.com/images/great_dane.jpg";"Дог";"Германия";"GIANT";"Спокойный, любящий, уравновешенный"
"15";"Энергичная и элегантная порода";"https://example.com/images/yorkshire_terrier.jpg";"Йоркширский терьер";"Англия";"TOY";"Бдительный, решительный, ласковый"
"13";"Пушистая, умная и преданная собака";"https://example.com/images/spitz.jpg";"Шпиц";"Германия";"SMALL";"Бдительный, энергичный, любящий"
"10";"Легко обучаемая порода с крепким телосложением";"https://example.com/images/boxer.jpg";"Боксер";"Германия";"MEDIUM";"Игривый, преданный, уверенный"
"10";"Выносливая, преданная ездовая собака";"https://example.com/images/siberian_husky.jpg";"Сибирский хаски";"Россия";"MEDIUM";"Дружелюбный, энергичный, независимый"
"12";"Нежная и интеллигентная собака-компаньон";"https://example.com/images/poodle.jpg";"Пудель";"Франция";"MEDIUM";"Интеллигентный, активный, послушный"
"11";"Сильная и отважная порода";"https://example.com/images/rottweiler.jpg";"Ротвейлер";"Германия";"LARGE";"Защитный, уверенный, преданный"
"14";"Преданная и терпеливая, хороша для семьи";"https://example.com/images/golden_retriever.jpg";"Золотистый ретривер";"Шотландия";"LARGE";"Дружелюбный, терпеливый, мягкий"
"9";"Храбрая и энергичная порода";"https://example.com/images/doberman.jpg";"Доберман";"Германия";"LARGE";"Бдительный, энергичный, решительный"
"15";"Компактная и живой охотник";"https://example.com/images/jack_russell.jpg";"Джек-рассел-терьер";"Англия";"SMALL";"Игривый, живой, смелый"
"12";"Красивая, спокойная и независимая";"https://example.com/images/akita.jpg";"Акита";"Япония";"LARGE";"Достойный, независимый, преданный"
"13";"Игривый и сообразительный, подходит для квартир";"https://example.com/images/papillon.jpg";"Папильон";"Франция";"TOY";"Умный, живой, ласковый"
"13";"Компактная сторожевая собака";"https://example.com/images/shih_tzu.jpg";"Ши-тцу";"Китай";"TOY";"Спокойный, ласковый, упрямый"
"14";"Длинношерстная охотничья собака";"https://example.com/images/cocker_spaniel.jpg";"Кокер-спаниель";"Англия";"MEDIUM";"Энергичный, веселый, ласковый"
"11";"Устойчивый к холоду, хороший охранник";"https://example.com/images/alaskan_malamute.jpg";"Аляскинский маламут";"США";"LARGE";"Независимый, дружелюбный, упрямый"
"13";"Сильная и умная порода с короткой шерстью";"https://example.com/images/pitbull.jpg";"Американский питбуль";"США";"MEDIUM";"Энергичный, умный, уверенный"
